PLAYER,POS,CAP HIT
"Janne Kuokkanen
 NJD",C,"$1,825,000"
"Justin Braun
 NYR",D,"$1,800,000"
"Jordan Martinook
 CAR",LW,"$1,800,000"
"Tomas Nosek
 BOS",LW,"$1,750,000"
"Ryan Reaves
 NYR",RW,"$1,750,000"
"Tyler Pitlick
 MTL",RW,"$1,750,000"
"Zach Aston-Reese
 ANA",C,"$1,725,000"
"Ryan Hartman
 MIN",RW,"$1,700,000"
"Sonny Milano
 ANA",LW,"$1,700,000"
"Nick Holden
 OTT",D,"$1,700,000"
"Troy Stecher
 LAK",D,"$1,700,000"
"Nick Blankenburg
 CBJ",D,"$1,688,452"
"Noel Acciari
 FLA",C,"$1,666,666"
"Kyle Turris
 EDM",C,"$1,650,000"
"Jack Campbell
 TOR",G,"$1,650,000"
"Dean Kukan
 CBJ",D,"$1,650,000"
"Ilya Mikheyev
 TOR",LW,"$1,645,000"
"Robert Hagg
 FLA",D,"$1,600,000"
"Anders Bjork
 BUF",LW,"$1,600,000"
"Brendan Lemieux
 LAK",LW,"$1,550,000"
"Rudolfs Balcers
 SJS",LW,"$1,550,000"
"Lawson Crouse
 ARI",LW,"$1,533,333"
"Alexandre Texier
 CBJ",C,"$1,525,000"
"Samuel Blais
 NYR",LW,"$1,500,000"
"Derek Grant
 ANA",LW,"$1,500,000"
"Austin Watson
 OTT",LW,"$1,500,000"
"Garnet Hathaway
 WAS",RW,"$1,500,000"
"Marcus Johansson
 WAS",C,"$1,500,000"
"Conor Sheary
 WAS",LW,"$1,500,000"
"Josh Archibald
 EDM",RW,"$1,500,000"
"Nick Cousins
 NSH",C,"$1,500,000"
"Brandon Hagel
 TBL",LW,"$1,500,000"
"David Kampf
 TOR",C,"$1,500,000"
"Matt Martin
 NYI",LW,"$1,500,000"
"Jaroslav Halak
 VAN",G,"$1,500,000"
"Luke Glendening
 DAL",C,"$1,500,000"
"Travis Dermott
 VAN",D,"$1,500,000"
"Andrej Sekera
 DAL",D,"$1,500,000"
"Jani Hakanpaa
 DAL",D,"$1,500,000"
"Michael Rasmussen
 DET",C,"$1,460,000"
"Troy Terry
 ANA",RW,"$1,450,000"
"Eeli Tolvanen
 NSH",RW,"$1,450,000"
"Scott Mayfield
 NYI",D,"$1,450,000"
"William Carrier
 VGK",LW,"$1,400,000"
"Johan Larsson
 WAS",LW,"$1,400,000"
"Tage Thompson
 BUF",C,"$1,400,000"
"Robert Bortuzzo
 STL",D,"$1,375,000"
"Chris Wagner
 BOS",C,"$1,350,000"
"Jordan Oesterle
 DET",D,"$1,350,000"
"Derek Stepan
 CAR",C,"$1,350,000"
"Riley Stillman
 CHI",D,"$1,350,000"
"Nicholas Paul
 TBL",C,"$1,350,000"
"Ilya Lyubushkin
 TOR",D,"$1,350,000"
"Haydn Fleury
 SEA",D,"$1,300,000"
"Jan Rutta
 TBL",D,"$1,300,000"
"Max Jones
 ANA",LW,"$1,295,000"
"Kris Russell
 EDM",D,"$1,250,000"
"Derek Ryan
 EDM",C,"$1,250,000"
"David Rittich
 NSH",G,"$1,250,000"
"Casey DeSmith
 PIT",G,"$1,250,000"
"Nathan Beaulieu
 PIT",D,"$1,250,000"
"Pierre Engvall
 TOR",LW,"$1,250,000"
"Ondrej Kase
 TOR",RW,"$1,250,000"
"Tyler Motte
 NYR",C,"$1,225,000"
"Frederick Gaudreau
 MIN",C,"$1,200,000"
"Joshua Brown
 BOS",D,"$1,200,000"
"Nolan Patrick
 VGK",C,"$1,200,000"
"Victor Mete
 OTT",D,"$1,200,000"
"Jesse Puljujarvi
 EDM",RW,"$1,175,000"
"Kailer Yamamoto
 EDM",C,"$1,175,000"
"Ross Colton
 TBL",C,"$1,125,000"
"Jonas Siegenthaler
 NJD",D,"$1,125,000"
"Brandon Sutter
 VAN",C,"$1,125,000"
"Dylan Gambrell
 OTT",C,"$1,100,000"
"Danton Heinen
 PIT",C,"$1,100,000"
"Michael Raffl
 DAL",LW,"$1,100,000"
"Nicolas Aube-Kubel
 COL",RW,"$1,075,000"
"Joel Kiviranta
 DAL",LW,"$1,050,000"
"Trent Frederic
 BOS",C,"$1,050,000"
"Vincent Hinostroza
 BUF",C,"$1,050,000"
"Ryan Carpenter
 CGY",C,"$1,000,000"
"Nicolas Deslauriers
 MIN",LW,"$1,000,000"
"Connor Clifton
 BOS",D,"$1,000,000"
"Kodie Curran
 BOS",D,"$1,000,000"
"Christian Fischer
 ARI",C,"$1,000,000"
"Anthony DeAngelo
 CAR",D,"$1,000,000"
"Henrik Borgstrom
 CHI",C,"$1,000,000"
"Matthew Benning
 NSH",D,"$1,000,000"
"Corey Perry
 TBL",RW,"$1,000,000"
"Pierre-Edouard Bellemare
 TBL",LW,"$1,000,000"
"Andrew Cogliano
 COL",LW,"$1,000,000"
"Carter Verhaeghe
 FLA",C,"$1,000,000"
"Darren Helm
 COL",C,"$1,000,000"
"Evan Rodrigues
 PIT",LW,"$1,000,000"
"Kyle Clifford
 TOR",C,"$1,000,000"
"Ross Johnston
 NYI",LW,"$1,000,000"
"Alexander Barabanov
 SJS",RW,"$1,000,000"
"Adam Gaudette
 OTT",C,"$997,500"
"Jujhar Khaira
 CHI",LW,"$975,000"
"Maxim Mamin
 FLA",C,"$975,000"
"Michael Mcleod
 NJD",C,"$975,000"
"Eric Robinson
 CBJ",LW,"$975,000"
"Anthony Stolarz
 ANA",G,"$950,000"
"Mathieu Perreault
 MTL",C,"$950,000"
"Trevor Van Riemsdyk
 WAS",D,"$950,000"
"Michael Bunting
 TOR",LW,"$950,000"
"Jake Oettinger
 DAL",G,"$925,000"
"Adam Fox
 NYR",D,"$925,000"
"Kaapo Kakko
 NYR",RW,"$925,000"
"Alexis Lafrenière
 NYR",LW,"$925,000"
"K'Andre Miller
 NYR",D,"$925,000"
"Braden Schneider
 NYR",D,"$925,000"
"Jack Ahcan
 BOS",D,"$925,000"
"Jeremy Swayman
 BOS",G,"$925,000"
"Lucas Raymond
 DET",RW,"$925,000"
"Jamie Drysdale
 ANA",D,"$925,000"
"Justin Barron
 MTL",D,"$925,000"
"Trevor Zegras
 ANA",C,"$925,000"
"Josh Norris
 OTT",C,"$925,000"
"Shane Pinto
 OTT",C,"$925,000"
"Jake Sanderson
 OTT",D,"$925,000"
"Tim Stützle
 OTT",C,"$925,000"
"Scott Perunovich
 STL",D,"$925,000"
"Kirby Dach
 CHI",C,"$925,000"
"Bobby Brink
 PHI",RW,"$925,000"
"Joel Farabee
 PHI",LW,"$925,000"
"Morgan Barron
 WPG",C,"$925,000"
"Dylan Samberg
 WPG",D,"$925,000"
"Aleksi Heponiemi
 FLA",C,"$925,000"
"Spencer Knight
 FLA",G,"$925,000"
"Anton Lundell
 FLA",C,"$925,000"
"Jesper Boqvist
 NJD",C,"$925,000"
"Alexander Holtz
 NJD",RW,"$925,000"
"Jack Hughes
 NJD",C,"$925,000"
"Reilly Walsh
 NJD",D,"$925,000"
"Mattias Samuelsson
 BUF",D,"$925,000"
"Michael Anderson
 LAK",D,"$925,000"
"Emil Bemstrom
 CBJ",C,"$925,000"
"Yegor Chinakhov
 CBJ",RW,"$925,000"
"Kent Johnson
 CBJ",C,"$925,000"
"Cole Sillinger
 CBJ",C,"$925,000"
"Daniil Tarasov
 CBJ",G,"$925,000"
"Mario Ferraro
 SJS",D,"$925,000"
"John Leonard
 SJS",C,"$925,000"
"Vasily Podkolzin
 VAN",RW,"$925,000"
"Rem Pitlick
 MTL",C,"$917,831"
"Alex Vlasic
 CHI",D,"$916,667"
"Owen Power
 BUF",D,"$916,667"
"Thomas Bordeleau
 SJS",C,"$916,667"
"Connor Mackey
 CGY",D,"$912,500"
"Ben Meyers
 COL",LW,"$912,500"
"Alex Newhook
 COL",C,"$908,333"
"Brett Ritchie
 CGY",RW,"$900,000"
"Jordie Benn
 MIN",D,"$900,000"
"Nick Bjugstad
 MIN",C,"$900,000"
"William Borgen
 SEA",D,"$900,000"
"Tyler Ennis
 OTT",C,"$900,000"
"Anton Forsberg
 OTT",G,"$900,000"
"MacKenzie MacEachern
 STL",LW,"$900,000"
"Keith Yandle
 PHI",D,"$900,000"
"Patrick Maroon
 TBL",LW,"$900,000"
"Brian Elliott
 TBL",G,"$900,000"
"Mason Appleton
 WPG",C,"$900,000"
"Logan Stanley
 WPG",D,"$900,000"
"Mark Pysyk
 BUF",D,"$900,000"
"Wayne Simmonds
 TOR",RW,"$900,000"
"Matthew Beniers
 SEA",C,"$897,500"
"Eetu Luostarinen
 FLA",C,"$897,500"
"Joe Veleno
 DET",C,"$894,167"
"Seth Jarvis
 CAR",RW,"$894,167"
"Filip Zadina
 DET",RW,"$894,167"
"Barrett Hayton
 ARI",C,"$894,167"
"Alexander Romanov
 MTL",D,"$894,167"
"Urho Vaakanainen
 ANA",D,"$894,167"
"Cole Perfetti
 WPG",C,"$894,167"
"Bowen Byram
 COL",D,"$894,167"
"Dawson Mercer
 NJD",RW,"$894,167"
"Dylan Cozens
 BUF",C,"$894,167"
"Rasmus Sandin
 TOR",D,"$894,167"
"Tobias Bjornfot
 LAK",D,"$894,167"
"Quinton Byfield
 LAK",C,"$894,167"
"Arthur Kaliyev
 LAK",RW,"$894,167"
"Gabe Vilardi
 LAK",C,"$894,167"
"Adam Boqvist
 CBJ",D,"$894,167"
"Oliver Wahlstrom
 NYI",RW,"$894,167"
"Noah Dobson
 NYI",D,"$894,167"
"Nils Hoglander
 VAN",LW,"$891,667"
"Jacob Bryson
 BUF",D,"$889,166"
"Janis Moser
 ARI",D,"$886,667"
"Brett Howden
 VGK",C,"$885,000"
"Marc McLaughlin
 BOS",C,"$883,750"
"Jack McBain
 ARI",C,"$883,750"
"Nathan Smith
 ARI",C,"$883,750"
"Matthew Boldy
 MIN",LW,"$880,833"
"Cole Caufield
 MTL",RW,"$880,833"
"Cameron York
 PHI",D,"$880,833"
"Justus Annunen
 COL",G,"$880,833"
"Kurtis Macdermid
 COL",D,"$875,000"
"Libor Hajek
 NYR",D,"$874,125"
"Kole Lind
 SEA",RW,"$874,125"
"Isac Lundestrom
 ANA",C,"$874,125"
"Sam Steel
 ANA",C,"$874,125"
"Lias Andersson
 LAK",C,"$874,125"
"Thomas Harley
 DAL",D,"$863,333"
"Moritz Seider
 DET",D,"$863,333"
"Martin Necas
 CAR",C,"$863,333"
"Nick Suzuki
 MTL",C,"$863,333"
"Victor Soderstrom
 ARI",D,"$863,333"
"Erik Brannstrom
 OTT",D,"$863,333"
"Connor McMichael
 WAS",C,"$863,333"
"Evan Bouchard
 EDM",D,"$863,333"
"Philip Tomasino
 NSH",C,"$863,333"
"Morgan Frost
 PHI",C,"$863,333"
"Owen Tippett
 PHI",RW,"$863,333"
"Nolan Foote
 NJD",LW,"$863,333"
"Ty Smith
 NJD",D,"$863,333"
"Peyton Krebs
 BUF",C,"$863,333"
"Timothy Liljegren
 TOR",D,"$863,333"
"Rasmus Kupari
 LAK",C,"$863,333"
"Ryan Merkley
 SJS",D,"$863,333"
"Matt Kiersted
 FLA",D,"$858,750"
"Cal Petersen
 LAK",G,"$858,333"
"Cole Schwindt
 FLA",RW,"$855,833"
"Santeri Hatakka
 SJS",D,"$850,833"
"Luke Schenn
 VAN",D,"$850,000"
"Jon Merrill
 MIN",D,"$850,000"
"Riley Sheahan
 SEA",LW,"$850,000"
"Sam Gagner
 DET",C,"$850,000"
"Gustav Lindstrom
 DET",D,"$850,000"
"Conor Timmins
 ARI",D,"$850,000"
"Devin Shore
 EDM",C,"$850,000"
"Caleb Jones
 CHI",D,"$850,000"
"Jeremy Lauzon
 NSH",D,"$850,000"
"Zach Bogosian
 TBL",D,"$850,000"
"Cal Foote
 TBL",D,"$850,000"
"Malcolm Subban
 BUF",G,"$850,000"
"Nicholas Abruzzese
 TOR",C,"$850,000"
"Matt Nieto
 SJS",LW,"$850,000"
"William Lockwood
 VAN",RW,"$842,500"
"Jacob Peterson
 DAL",C,"$842,500"
"Jesper Froden
 BOS",RW,"$842,500"
"Pyotr Kochetkov
 CAR",G,"$842,500"
"Jordan Harris
 MTL",D,"$842,500"
"Karel Vejmelka
 ARI",G,"$842,500"
"Philipp Kurashev
 CHI",C,"$842,500"
"Robin Salo
 NYI",D,"$842,500"
"Scott Reedy
 SJS",C,"$842,500"
"Jasper Weatherby
 SJS",C,"$842,500"
"Angus Crookshank
 OTT",LW,"$838,333"
"Jack Matier
 NSH",D,"$838,333"
"Kevin Mandolese
 OTT",G,"$835,000"
"Ryan McLeod
 EDM",C,"$834,167"
"Viktor Lodin
 OTT",C,"$830,000"
"Connor Dewar
 MIN",C,"$825,833"
"Scott Wedgewood
 DAL",G,"$825,000"
"Carter Rowney
 DET",C,"$825,000"
"Derick Brassard
 EDM",C,"$825,000"
"Kevin Connauton
 PHI",D,"$825,000"
"Zack MacEwen
 PHI",C,"$825,000"
"Nathan Bastian
 NJD",RW,"$825,000"
"Rasmus Asplund
 BUF",C,"$825,000"
"Mark Kastelic
 OTT",C,"$821,667"
"Carson Meyer
 CBJ",RW,"$820,000"
"Jordan Spence
 LAK",D,"$820,000"
"Linus Hogberg
 PHI",D,"$815,000"
"Mackenzie Entwistle
 CHI",RW,"$811,667"
"Oskar Steen
 BOS",C,"$809,167"
"Fabian Zetterlund
 NJD",LW,"$809,167"
"Simon Benoit
 ANA",D,"$809,166"
"Sean Durzi
 LAK",D,"$809,166"
"Adam Ruzicka
 CGY",C,"$801,666"
"Brad Hunt
 VAN",D,"$800,000"
"Spencer Martin
 VAN",G,"$800,000"
"Brad Richardson
 VAN",RW,"$800,000"
"Ty Lewis
 CGY",LW,"$800,000"
"Trevor Lewis
 CGY",C,"$800,000"
"Curtis Lazar
 BOS",C,"$800,000"
"Logan Thompson
 VGK",G,"$800,000"
"Magnus Hellberg
 DET",G,"$800,000"
"Brendan Smith
 CAR",D,"$800,000"
"Calvin Pickard
 DET",G,"$800,000"
"Kevin Lankinen
 CHI",G,"$800,000"
"Gerald Mayhew
 ANA",C,"$800,000"
"Erik Gustafsson
 CHI",D,"$800,000"
"Ben Harpur
 NSH",D,"$800,000"
"Tanner Jeannot
 NSH",LW,"$800,000"
"Nate Thompson
 PHI",C,"$800,000"
"Mason Marchment
 FLA",LW,"$800,000"
"Jimmy Vesey
 NJD",LW,"$800,000"
"Blake Lizotte
 LAK",C,"$800,000"
"Nikolai Knyzhov
 SJS",D,"$796,667"
"Fredrik Karlstrom
 DAL",C,"$795,000"
"Jason Robertson
 DAL",LW,"$795,000"
"Kevin Bahl
 NJD",D,"$795,000"
"Nicolas Hague
 VGK",D,"$791,667"
"Martin Fehervary
 WAS",D,"$791,667"
"Vladislav Kolyachonok
 ARI",D,"$789,167"
"Nikita Okhotyuk
 NJD",D,"$789,167"
"Niko Mikkola
 STL",D,"$787,500"
"Andrew Peeke
 CBJ",D,"$787,500"
"Arturs Silovs
 VAN",G,"$786,111"
"Jonah Gadjovich
 SJS",LW,"$783,333"
"Alexander Chmelevski
 SJS",C,"$778,333"
"Julien Gauthier
 NYR",RW,"$775,000"
"Alexei Toropchenko
 STL",RW,"$775,000"
"Kyle Capobianco
 ARI",D,"$775,000"
"Tyler Parsons
 CGY",G,"$771,750"
"Austin Strand
 LAK",D,"$771,750"
"Jack Studnicka
 BOS",C,"$769,167"
"Brady Keeper
 VAN",D,"$762,500"
"Dryden Hunt
 NYR",LW,"$762,500"
"Dylan Coghlan
 VGK",D,"$762,500"
"Kale Clague
 MTL",D,"$761,250"
"Boris Katchouk
 CHI",LW,"$758,333"
"Taylor Raddysh
 CHI",RW,"$758,333"
"Yegor Zamula
 PHI",D,"$756,667"
"Jonathan Dahlen
 SJS",C,"$750,000"
"Noah Gregor
 SJS",C,"$750,000"
"Jaycob Megna
 SJS",D,"$750,000"
"Nicholas Meloche
 SJS",D,"$750,000"
"Lane Pederson
 SJS",C,"$750,000"
"Jeffrey Truchon-Viel
 SJS",LW,"$750,000"
"Kyle Burroughs
 VAN",D,"$750,000"
"Alex Chiasson
 VAN",RW,"$750,000"
"Sheldon Dries
 VAN",C,"$750,000"
"Juho Lammikko
 VAN",RW,"$750,000"
"Nicolas Petan
 VAN",C,"$750,000"
"Oliver Kylington
 CGY",D,"$750,000"
"Joel Hanley
 DAL",D,"$750,000"
"Michael Stone
 CGY",D,"$750,000"
"Daniel Vladar
 CGY",G,"$750,000"
"Brandon Duhaime
 MIN",RW,"$750,000"
"Marian Studenic
 DAL",RW,"$750,000"
"Kevin Rooney
 NYR",C,"$750,000"
"Jonny Brodzinski
 NYR",C,"$750,000"
"Greg McKegg
 NYR",C,"$750,000"
"Ryan Donato
 SEA",C,"$750,000"
"Morgan Geekie
 SEA",C,"$750,000"
"Derrick Pouliot
 SEA",D,"$750,000"
"Michael Amadio
 VGK",C,"$750,000"
"Anton Blidh
 BOS",LW,"$750,000"
"Kyle Criscuolo
 DET",C,"$750,000"
"Turner Elson
 DET",LW,"$750,000"
"Ben Hutton
 VGK",D,"$750,000"
"Olli Juolevi
 DET",D,"$750,000"
"Nicolas Roy
 VGK",C,"$750,000"
"Givani Smith
 DET",RW,"$750,000"
"Jake Evans
 MTL",C,"$750,000"
"Laurent Dauphin
 MTL",C,"$750,000"
"Samuel Montembeault
 MTL",G,"$750,000"
"Michael Pezzetta
 MTL",C,"$750,000"
"Ryan Poehling
 MTL",C,"$750,000"
"Chris Wideman
 MTL",D,"$750,000"
"Tyler Bozak
 STL",C,"$750,000"
"Logan Brown
 STL",C,"$750,000"
"Ville Husso
 STL",G,"$750,000"
"Calle Rosen
 STL",D,"$750,000"
"Nathan Walker
 STL",LW,"$750,000"
"Nic Dowd
 WAS",C,"$750,000"
"Matt Irwin
 WAS",D,"$750,000"
"Axel Jonsson-Fjallby
 WAS",LW,"$750,000"
"Joe Snively
 WAS",LW,"$750,000"
"Sam Lafferty
 CHI",C,"$750,000"
"Travis Boyd
 ARI",LW,"$750,000"
"Michael Carcone
 ARI",RW,"$750,000"
"Cam Dineen
 ARI",D,"$750,000"
"Jeremy Davies
 NSH",D,"$750,000"
"Matt Luff
 NSH",RW,"$750,000"
"Michael McCarron
 NSH",RW,"$750,000"
"Mathieu Olivier
 NSH",RW,"$750,000"
"Alex Galchenyuk
 ARI",C,"$750,000"
"Bokondji Imama
 ARI",LW,"$750,000"
"Sam Carrick
 ANA",C,"$750,000"
"Patrick Brown
 PHI",LW,"$750,000"
"Trevor Carrick
 ANA",D,"$750,000"
"Samuel Morin
 PHI",D,"$750,000"
"Vinni Lettieri
 ANA",C,"$750,000"
"Dysin Mayo
 ARI",D,"$750,000"
"Felix Sandstrom
 PHI",G,"$750,000"
"Nick Seeler
 PHI",D,"$750,000"
"Joshua Mahura
 ANA",D,"$750,000"
"Liam O'Brien
 ARI",C,"$750,000"
"Eric Comrie
 WPG",G,"$750,000"
"Harri Sateri
 ARI",G,"$750,000"
"Evgeny Svechnikov
 WPG",LW,"$750,000"
"Dominic Toninato
 WPG",C,"$750,000"
"Lucas Carlsson
 FLA",D,"$750,000"
"Jack Johnson
 COL",D,"$750,000"
"Jonas Johansson
 FLA",G,"$750,000"
"Joe Thornton
 FLA",C,"$750,000"
"Dominik Simon
 ANA",C,"$750,000"
"Andrej Sustr
 ANA",D,"$750,000"
"Jon Gillies
 NJD",G,"$750,000"
"Andrew Hammond
 NJD",G,"$750,000"
"Colton White
 NJD",D,"$750,000"
"Brian Boyle
 PIT",C,"$750,000"
"Louis Domingue
 PIT",G,"$750,000"
"Chad Ruhwedel
 PIT",D,"$750,000"
"Joseph Anderson
 TOR",RW,"$750,000"
"Andrew Oglevie
 BUF",C,"$750,000"
"Craig Anderson
 BUF",G,"$750,000"
"Drake Caggiula
 BUF",C,"$750,000"
"Erik Källgren
 TOR",G,"$750,000"
"Jason Spezza
 TOR",C,"$750,000"
"John Hayden
 BUF",C,"$750,000"
"Michael Houser
 BUF",G,"$750,000"
"Nathan Gerbe
 CBJ",LW,"$750,000"
"Gavin Bayreuther
 CBJ",D,"$750,000"
"Justin Danforth
 CBJ",RW,"$750,000"
"Brendan Gaunce
 CBJ",C,"$750,000"
"Jacob Moverare
 LAK",D,"$750,000"
"Kieffer Bellows
 NYI",LW,"$750,000"
"Zdeno Chara
 NYI",D,"$750,000"
"Andy Greene
 NYI",D,"$750,000"
"Otto Koivula
 NYI",LW,"$750,000"
"Zach Parise
 NYI",LW,"$750,000"
"Alex Formenton
 OTT",LW,"$747,500"
"Mitchell Stephens
 DET",C,"$737,500"
"Mathieu Joseph
 OTT",RW,"$737,500"
"Alex Carrier
 NSH",D,"$733,333"
"Connor Ingram
 NSH",G,"$733,333"
"Parker Kelly
 OTT",C,"$726,667"
"Kaapo Kahkonen
 SJS",G,"$725,000"
"Madison Bowey
 VAN",D,"$725,000"
"Matthew Highmore
 VAN",C,"$725,000"
"Jacob Middleton
 MIN",D,"$725,000"
"Karson Kuhlman
 SEA",RW,"$725,000"
"Daniel Sprong
 SEA",RW,"$725,000"
"Keegan Kolesar
 VGK",RW,"$725,000"
"Zach Whitecloud
 VGK",D,"$725,000"
"Jake Walman
 DET",D,"$725,000"
"Steven Lorentz
 CAR",C,"$725,000"
"William Lagesson
 MTL",D,"$725,000"
"Jakub Zboril
 BOS",D,"$725,000"
"Yakov Trenin
 NSH",C,"$725,000"
"Adam Brooks
 WPG",C,"$725,000"
"Jansen Harkins
 WPG",C,"$725,000"
"Jacob MacDonald
 COL",D,"$725,000"
"Ryan Lomberg
 FLA",LW,"$725,000"
"Logan O'Connor
 COL",C,"$725,000"
"Nico Sturm
 COL",C,"$725,000"
"Mason Geertsen
 NJD",D,"$725,000"
"Mark Friedman
 PIT",D,"$725,000"
"Colin Blackwell
 TOR",C,"$725,000"
"Dustin Tokarski
 BUF",G,"$725,000"
"Gabriel Carlsson
 CBJ",D,"$725,000"
"Carl Grundstrom
 LAK",RW,"$725,000"
"Sebastian Aho
 NYI",D,"$725,000"
"Jake Bischoff
 VGK",D,"$716,667"
"Vitek Vanecek
 WAS",G,"$716,667"